"Episode ID","IMDB Rating","IMDB Votes","Number in Season","Number in Series","Air Date","Air Year","Production Code","Season","Episode Title","US Views (in millions)","Views"
"117","8.6","1221","14","117","1995-02-05","1995","2F11","6","Bart's Comet","18.7","67619"
"118","8.5","1254","15","118","1995-02-12","1995","2F12","6","Homie the Clown","17.6","73123"
"119","8.5","1353","16","119","1995-02-19","1995","2F13","6","Bart vs. Australia","15.1","80724"
"120","7.9","1006","17","120","1995-02-26","1995","2F14","6","Homer vs. Patty and Selma","18.9","60599"
"121","8.5","1223","18","121","1995-03-05","1995","2F31","6","A Star Is Burns","14.4","71936"
"122","8.3","1190","19","122","1995-03-19","1995","2F15","6","Lisa's Wedding","14.4","74266"
"123","8.1","1051","20","123","1995-04-09","1995","2F18","6","Two Dozen and One Greyhounds","11.6","62323"
"124","8.1","1004","21","124","1995-04-16","1995","2F19","6","The PTA Disbands","11.8","74788"
"125","8.3","1084","22","125","1995-04-30","1995","2F32","6","'Round Springfield","12.6","56001"
"126","8.2","1003","23","126","1995-05-07","1995","2F21","6","The Springfield Connection","12.7","79777"
"127","8.6","1285","24","127","1995-05-14","1995","2F22","6","Lemon of Troy","13.1","70698"
"128","9.1","1619","25","128","1995-05-21","1995","2F16","6","Who Shot Mr. Burns? (Part One)","15","86070"
"129","8.9","1497","1","129","1995-09-17","1995","2F20","7","Who Shot Mr. Burns? (Part Two)","16","67579"
"130","8.3","1172","2","130","1995-09-24","1995","2F17","7","Radioactive Man","15.7","62390"
"131","8.3","1088","3","131","1995-10-01","1995","3F01","7","Home Sweet Homediddly-Dum-Doodily","14.5","70120"
"132","8.7","1354","4","132","1995-10-08","1995","3F02","7","Bart Sells His Soul","14.8","65333"
"133","8.5","1288","5","133","1995-10-15","1995","3F03","7","Lisa the Vegetarian","14.6","69245"
"134","8.5","1304","6","134","1995-10-29","1995","3F04","7","Treehouse of Horror VI","19.7","110342"
"135","9","1633","7","135","1995-11-05","1995","3F05","7","King-Size Homer","17","81426"
"136","8.5","1226","8","136","1995-11-19","1995","3F06","7","Mother Simpson","15.3","61085"
"137","8","1023","9","137","1995-11-26","1995","3F08","7","Sideshow Bob's Last Gleaming","14.2","61246"
"138","7.5","1038","10","138","1995-12-03","1995","3F31","7","The Simpsons 138th Episode Spectacular","16.4","56153"
"139","8.3","1146","11","139","1995-12-17","1995","3F07","7","Marge Be Not Proud","16.7","68970"
"140","8.3","1064","12","140","1996-01-07","1996","3F10","7","Team Homer","16.7","72268"
"141","8.7","1264","13","141","1996-01-14","1996","3F09","7","Two Bad Neighbors","16.5","64224"
"142","7.7","962","14","142","1996-02-04","1996","3F11","7","Scenes from the Class Struggle in Springfield","14.4","58572"
"143","7.7","954","15","143","1996-02-11","1996","3F12","7","Bart the Fink","15","71230"
"144","8.1","1039","16","144","1996-02-18","1996","3F13","7","Lisa the Iconoclast","13.4","58795"
"145","8.9","1609","17","145","1996-02-25","1996","3F14","7","Homer the Smithers","14.1","68354"
"146","8","1016","18","146","1996-03-17","1996","3F16","7","The Day the Violence Died","14.4","57809"
"147","8.2","1103","19","147","1996-03-24","1996","3F15","7","A Fish Called Selma","12.9","57830"
"148","8.6","1110","20","148","1996-03-31","1996","3F17","7","Bart on the Road","11.8","70913"
"149","8.8","1393","21","149","1996-04-14","1996","3F18","7","22 Short Films About Springfield","10.5","66536"
"150","8.3","1122","22","150","1996-04-28","1996","3F19","7","Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""","13","69120"
"151","8","995","23","151","1996-05-05","1996","3F20","7","Much Apu About Nothing","11.3","75618"
"152","8","1095","24","152","1996-05-19","1996","3F21","7","Homerpalooza","12.9","60569"
"153","8.3","1119","25","153","1996-05-19","1996","3F22","7","Summer of 4 Ft. 2","14.7","65847"
"154","8.3","1186","1","154","1996-10-27","1996","4F02","8","Treehouse of Horror VII","18.3","102077"
"155","9.2","2439","2","155","1996-11-03","1996","3F23","8","You Only Move Twice","13.9","79609"
"156","8","1085","3","156","1996-11-10","1996","4F03","8","The Homer They Fall","17","61146"
